T_pre,T_post,ManufacturingTime,C_dia
287.450000,0.000000,16.865000,nan
287.450000,0.000000,16.865000,nan
287.550000,286.250000,71.672000,1.226239
287.550000,286.350000,70.829000,1.256601
287.550000,286.450000,69.992000,1.287214
287.550000,286.550000,69.161000,1.318069
287.550000,286.650000,68.337000,1.349133
287.550000,286.750000,67.521000,1.380368
287.550000,286.850000,66.711000,1.411819
287.550000,286.950000,65.910000,1.443393
287.550000,287.050000,65.116000,1.475133
287.550000,287.150000,64.330000,1.506998
287.550000,287.250000,63.553000,1.538948
287.550000,287.350000,62.784000,1.570995
287.550000,287.450000,62.024000,1.603097
287.550000,287.550000,61.273000,1.635237
287.550000,287.650000,60.530000,1.667425
287.550000,0.000000,16.673000,nan
287.550000,0.000000,16.673000,nan
287.650000,286.250000,71.441000,1.229957
287.650000,286.350000,70.596000,1.260449
287.650000,286.450000,69.758000,1.291165
287.650000,286.550000,68.926000,1.322126
287.650000,286.650000,68.101000,1.353296
287.650000,286.750000,67.284000,1.384638
287.650000,286.850000,66.473000,1.416197
287.650000,286.950000,65.671000,1.447880
287.650000,287.050000,64.876000,1.479730
287.650000,287.150000,64.089000,1.511706
287.650000,287.250000,63.311000,1.543767
287.650000,287.350000,62.541000,1.575925
287.650000,287.450000,61.780000,1.608138
287.650000,287.550000,61.028000,1.640389
287.650000,287.650000,60.285000,1.672662
287.650000,0.000000,16.482000,nan
287.650000,0.000000,16.482000,nan
287.750000,286.250000,71.213000,1.233599
287.750000,286.350000,70.367000,1.264192
287.750000,286.450000,69.528000,1.295010
287.750000,286.550000,68.695000,1.326075
287.750000,286.650000,67.869000,1.357349
287.750000,286.750000,67.050000,1.388824
287.750000,286.850000,66.239000,1.420463
287.750000,286.950000,65.435000,1.452281
287.750000,287.050000,64.639000,1.484239
287.750000,287.150000,63.852000,1.516296
287.750000,287.250000,63.073000,1.548465
287.750000,287.350000,62.302000,1.580733
287.750000,287.450000,61.540000,1.613055
287.750000,287.550000,60.787000,1.645416
287.750000,287.650000,60.044000,1.677772
287.750000,0.000000,16.294000,nan
287.750000,0.000000,16.294000,nan
287.850000,286.250000,70.989000,1.237137
287.850000,286.350000,70.141000,1.267857
287.850000,286.450000,69.301000,1.298776
287.850000,286.550000,68.467000,1.329942
287.850000,286.650000,67.640000,1.361319
287.850000,286.750000,66.820000,1.392899
287.850000,286.850000,66.008000,1.424642
287.850000,286.950000,65.203000,1.456566
287.850000,287.050000,64.406000,1.488629
287.850000,287.150000,63.618000,1.520793
287.850000,287.250000,62.838000,1.553070
287.850000,287.350000,62.066000,1.585444
287.850000,287.450000,61.304000,1.617848
287.850000,287.550000,60.550000,1.650316
287.850000,0.000000,16.108000,nan
287.850000,0.000000,16.108000,nan
287.950000,286.250000,70.767000,1.240626
287.950000,286.350000,69.919000,1.271416
287.950000,286.450000,69.077000,1.302462
287.950000,286.550000,68.242000,1.333729
287.950000,286.650000,67.414000,1.365208
287.950000,286.750000,66.593000,1.396890
287.950000,286.850000,65.780000,1.428736
287.950000,286.950000,64.974000,1.460764
287.950000,287.050000,64.177000,1.492905
287.950000,287.150000,63.388000,1.525174
287.950000,287.250000,62.607000,1.557556
287.950000,287.350000,61.834000,1.590036
287.950000,287.450000,61.071000,1.622544
287.950000,287.550000,60.317000,1.655092
287.950000,0.000000,15.925000,nan
287.950000,0.000000,15.925000,nan
288.050000,286.250000,70.550000,1.243995
288.050000,286.350000,69.700000,1.274910
288.050000,286.450000,68.858000,1.306025
288.050000,286.550000,68.021000,1.337418
288.050000,286.650000,67.192000,1.368996
288.050000,286.750000,66.371000,1.400750
288.050000,286.850000,65.556000,1.432726
288.050000,286.950000,64.750000,1.464828
288.050000,287.050000,63.952000,1.497071
288.050000,287.150000,63.161000,1.529470
288.050000,287.250000,62.380000,1.561928
288.050000,287.350000,61.607000,1.594484
288.050000,287.450000,60.843000,1.627096
288.050000,287.550000,60.087000,1.659773
288.050000,0.000000,15.744000,nan
288.050000,0.000000,15.744000,nan
288.150000,286.250000,70.336000,1.247291
288.150000,286.350000,69.486000,1.278272
288.150000,286.450000,68.642000,1.309510
288.150000,286.550000,67.804000,1.340999
288.150000,286.650000,66.974000,1.372675
288.150000,286.750000,66.151000,1.404556
288.150000,286.850000,65.336000,1.436602
288.150000,286.950000,64.529000,1.468804
288.150000,287.050000,63.730000,1.501148
288.150000,287.150000,62.938000,1.533647
288.150000,287.250000,62.156000,1.566207
288.150000,287.350000,61.382000,1.598864
288.150000,287.450000,60.617000,1.631578
288.150000,287.550000,59.861000,1.664329
288.150000,0.000000,15.564000,nan
288.150000,0.000000,15.564000,nan
288.250000,286.250000,70.125000,1.250512
288.250000,286.350000,69.274000,1.281585
288.250000,286.450000,68.429000,1.312918
288.250000,286.550000,67.590000,1.344502
288.250000,286.650000,66.759000,1.376274
288.250000,286.750000,65.935000,1.408252
288.250000,286.850000,65.119000,1.440396
288.250000,286.950000,64.311000,1.472696
288.250000,287.050000,63.511000,1.505139
288.250000,287.150000,62.719000,1.537710
288.250000,287.250000,61.936000,1.570369
288.250000,287.350000,61.161000,1.603127
288.250000,287.450000,60.395000,1.635940
288.250000,287.550000,59.639000,1.668765
288.250000,0.000000,15.387000,nan
288.250000,0.000000,15.387000,nan
288.350000,286.250000,69.917000,1.253657
288.350000,286.350000,69.064000,1.284850
288.350000,286.450000,68.218000,1.316275
288.350000,286.550000,67.379000,1.347926
288.350000,286.650000,66.547000,1.379793
288.350000,286.750000,65.722000,1.411866
288.350000,286.850000,64.905000,1.444107
288.350000,286.950000,64.096000,1.476504
288.350000,287.050000,63.295000,1.509044
288.350000,287.150000,62.503000,1.541686
288.350000,287.250000,61.719000,1.574443
288.350000,287.350000,60.943000,1.607299
288.350000,287.450000,60.177000,1.640183
288.350000,287.550000,59.420000,1.673107
288.350000,0.000000,15.213000,nan
288.350000,0.000000,15.213000,nan
288.450000,286.250000,69.712000,1.256730
288.450000,286.350000,68.859000,1.287985
288.450000,286.450000,68.012000,1.319502
288.450000,286.550000,67.171000,1.351272
288.450000,286.650000,66.338000,1.383232
288.450000,286.750000,65.513000,1.415371
288.450000,286.850000,64.695000,1.447707
288.450000,286.950000,63.885000,1.480199
288.450000,287.050000,63.083000,1.512835
288.450000,287.150000,62.290000,1.545573
288.450000,287.250000,61.505000,1.578426
288.450000,287.350000,60.729000,1.611352
288.450000,287.450000,59.962000,1.644333
288.450000,287.550000,59.204000,1.677352
288.450000,0.000000,15.040000,nan
288.450000,0.000000,15.040000,nan
288.550000,286.250000,69.512000,1.259688
288.550000,286.350000,68.657000,1.291059
288.550000,286.450000,67.809000,1.322665
288.550000,286.550000,66.968000,1.354497
288.550000,286.650000,66.134000,1.386548
288.550000,286.750000,65.307000,1.418807
288.550000,286.850000,64.488000,1.451235
288.550000,286.950000,63.678000,1.483793
288.550000,287.050000,62.875000,1.516522
288.550000,287.150000,62.081000,1.549354
288.550000,287.250000,61.295000,1.582301
288.550000,287.350000,60.518000,1.615320
288.550000,287.450000,59.750000,1.648395
288.550000,0.000000,14.869000,nan
288.550000,0.000000,14.869000,nan
288.650000,286.250000,69.313000,1.262613
288.650000,286.350000,68.457000,1.294071
288.650000,286.450000,67.608000,1.325766
288.650000,286.550000,66.766000,1.357688
288.650000,286.650000,65.931000,1.389830
288.650000,286.750000,65.104000,1.422152
288.650000,286.850000,64.284000,1.454672
288.650000,286.950000,63.472000,1.487350
288.650000,287.050000,62.669000,1.520144
288.650000,287.150000,61.874000,1.553069
288.650000,287.250000,61.087000,1.586109
288.650000,287.350000,60.310000,1.619195
288.650000,287.450000,59.541000,1.652363
288.650000,0.000000,14.701000,nan
288.650000,0.000000,14.701000,nan
288.750000,286.250000,69.117000,1.265468
288.750000,286.350000,68.260000,1.297013
288.750000,286.450000,67.410000,1.328794
288.750000,286.550000,66.567000,1.360804
